title,journal,journal_lower,date,authors,abstract,doi,pmid,Rank,Title
Thioredoxin reductase 1 deficiency reverses tumor phenotype and tumorigenicity of lung carcinoma cells,The Journal of biological chemistry,the journal of biological chemistry,2006-May,"['Yoo MH', 'Xu XM', 'Carlson BA', 'Gladyshev VN', 'Hatfield DL']","Dietary selenium has potent cancer prevention activity. Both low molecular weight selenocompounds and selenoproteins are implicated in this effect. Thioredoxin reductase 1 (TR1) is one of the major antioxidant and redox regulators in mammals that supports p53 function and other tumor suppressor activities. However, this selenium-containing oxidoreductase is also overexpressed in many malignant cells and has been proposed as a target for cancer therapy. To further assess the role of TR1 in the malignancy process, we used RNA interference technology to decrease its expression in mouse lung carcinoma (LLC1) cells. Stable transfection of LLC1 cells with a small interfering RNA construct that specifically targets TR1 removal manifested a reversal in the morphology and anchorage-independent growth properties of these cancer cells that made them similar to those of normal cells. The expression of at least two cancer-related protein mRNAs, Hgf and Opn1, were reduced dramatically in the TR1 knockdown cells. Mice injected with the TR1 knockdown showed a dramatic reduction in tumor progression and metastasis compared with those mice injected with the corresponding control vector. In addition, tumors that arose from injected TR1 knockdown cells lost the targeting construct, suggesting that TR1 is essential for tumor growth in mice. These observations provide direct evidence that the reduction of TR1 levels in malignant cells is antitumorigenic and suggest that the enzyme is a prime target for cancer therapy.",10.1074/jbc.C600012200,16565519,,
NMR structures of the selenoproteins Sep15 and SelM reveal redox activity of a new thioredoxin-like family,The Journal of biological chemistry,the journal of biological chemistry,2006-Feb,"['Ferguson AD', 'Labunskyy VM', 'Fomenko DE', 'Araç D', 'Chelliah Y', 'Amezcua CA', 'Rizo J', 'Gladyshev VN', 'Deisenhofer J']","Selenium has significant health benefits, including potent cancer prevention activity and roles in immune function and the male reproductive system. Selenium-containing proteins, which incorporate this essential micronutrient as selenocysteine, are proposed to mediate the positive effects of dietary selenium. Presented here are the solution NMR structures of the selenoprotein SelM and an ortholog of the selenoprotein Sep15. These data reveal that Sep15 and SelM are structural homologs that establish a new thioredoxin-like protein family. The location of the active-site redox motifs within the fold together with the observed localized conformational changes after thiol-disulfide exchange and measured redox potential indicate that they have redox activity. In mammals, Sep15 expression is regulated by dietary selenium, and either decreased or increased expression of this selenoprotein alters redox homeostasis. A physiological role for Sep15 and SelM as thiol-disulfide oxidoreductases and their contribution to the quality control pathways of the endoplasmic reticulum are discussed.",10.1074/jbc.M511386200,16319061,,
Evolutionary dynamics of eukaryotic selenoproteomes: large selenoproteomes may associate with aquatic life and small with terrestrial life,Genome biology,genome biology,2007-,"['Lobanov AV', 'Fomenko DE', 'Zhang Y', 'Sengupta A', 'Hatfield DL', 'Gladyshev VN']","Selenocysteine (Sec) is a selenium-containing amino acid that is co-translationally inserted into nascent polypeptides by recoding UGA codons. Selenoproteins occur in both eukaryotes and prokaryotes, but the selenoprotein content of organisms (selenoproteome) is highly variable and some organisms do not utilize Sec at all.",10.1186/gb-2007-8-9-r198,17880704,153.0,Genome Biology
"High content of proteins containing 21st and 22nd amino acids, selenocysteine and pyrrolysine, in a symbiotic deltaproteobacterium of gutless worm Olavius algarvensis",Nucleic acids research,nucleic acids research,2007-,"['Zhang Y', 'Gladyshev VN']","Selenocysteine (Sec) and pyrrolysine (Pyl) are rare amino acids that are cotranslationally inserted into proteins and known as the 21st and 22nd amino acids in the genetic code. Sec and Pyl are encoded by UGA and UAG codons, respectively, which normally serve as stop signals. Herein, we report on unusually large selenoproteomes and pyrroproteomes in a symbiont metagenomic dataset of a marine gutless worm, Olavius algarvensis. We identified 99 selenoprotein genes that clustered into 30 families, including 17 new selenoprotein genes that belong to six families. In addition, several Pyl-containing proteins were identified in this dataset. Most selenoproteins and Pyl-containing proteins were present in a single deltaproteobacterium, delta1 symbiont, which contained the largest number of both selenoproteins and Pyl-containing proteins of any organism reported to date. Our data contrast with the previous observations that symbionts and host-associated bacteria either lose Sec utilization or possess a limited number of selenoproteins, and suggest that the environment in the gutless worm promotes Sec and Pyl utilization. Anaerobic conditions and consistent selenium supply might be the factors that support the use of amino acids that extend the genetic code.",10.1093/nar/gkm514,17626042,159.0,Nucleic Acids Research
SECIS elements in the coding regions of selenoprotein transcripts are functional in higher eukaryotes,Nucleic acids research,nucleic acids research,2007-,"['Mix H', 'Lobanov AV', 'Gladyshev VN']","Expression of selenocysteine (Sec)-containing proteins requires the presence of a cis-acting mRNA structure, called selenocysteine insertion sequence (SECIS) element. In bacteria, this structure is located in the coding region immediately downstream of the Sec-encoding UGA codon, whereas in eukaryotes a completely different SECIS element has evolved in the 3'-untranslated region. Here, we report that SECIS elements in the coding regions of selenoprotein mRNAs support Sec insertion in higher eukaryotes. Comprehensive computational analysis of all available viral genomes revealed a SECIS element within the ORF of a naturally occurring selenoprotein homolog of glutathione peroxidase 4 in fowlpox virus. The fowlpox SECIS element supported Sec insertion when expressed in mammalian cells as part of the coding region of viral or mammalian selenoproteins. In addition, readthrough at UGA was observed when the viral SECIS element was located upstream of the Sec codon. We also demonstrate successful de novo design of a functional SECIS element in the coding region of a mammalian selenoprotein. Our data provide evidence that the location of the SECIS element in the untranslated region is not a functional necessity but rather is an evolutionary adaptation to enable a more efficient synthesis of selenoproteins.",10.1093/nar/gkl1060,17169995,159.0,Nucleic Acids Research
Identification and characterization of a selenoprotein family containing a diselenide bond in a redox motif,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,2007-Aug,"['Shchedrina VA', 'Novoselov SV', 'Malinouski MY', 'Gladyshev VN']","Selenocysteine (Sec, U) insertion into proteins is directed by translational recoding of specific UGA codons located upstream of a stem-loop structure known as Sec insertion sequence (SECIS) element. Selenoproteins with known functions are oxidoreductases containing a single redox-active Sec in their active sites. In this work, we identified a family of selenoproteins, designated SelL, containing two Sec separated by two other residues to form a UxxU motif. SelL proteins show an unusual occurrence, being present in diverse aquatic organisms, including fish, invertebrates, and marine bacteria. Both eukaryotic and bacterial SelL genes use single SECIS elements for insertion of two Sec. In eukaryotes, the SECIS is located in the 3' UTR, whereas the bacterial SelL SECIS is within a coding region and positioned at a distance that supports the insertion of either of the two Sec or both of these residues. SelL proteins possess a thioredoxin-like fold wherein the UxxU motif corresponds to the catalytic CxxC motif in thioredoxins, suggesting a redox function of SelL proteins. Distantly related SelL-like proteins were also identified in a variety of organisms that had either one or both Sec replaced with Cys. Danio rerio SelL, transiently expressed in mammalian cells, incorporated two Sec and localized to the cytosol. In these cells, it occurred in an oxidized form and was not reducible by DTT. In a bacterial expression system, we directly demonstrated the formation of a diselenide bond between the two Sec, establishing it as the first diselenide bond found in a natural protein.",10.1073/pnas.0703448104,17715293,444.0,Proceedings of the National Academy of Sciences of the United States of America
A highly efficient form of the selenocysteine insertion sequence element in protozoan parasites and its use in mammalian cells,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,2007-May,"['Novoselov SV', 'Lobanov AV', 'Hua D', 'Kasaikina MV', 'Hatfield DL', 'Gladyshev VN']","Selenoproteins are an elite group of proteins containing a rare amino acid, selenocysteine (Sec), encoded by the codon, UGA. In eukaryotes, incorporation of Sec requires a Sec insertion sequence (SECIS) element, a stem-loop structure located in the 3'-untranslated regions of selenoprotein mRNAs. Here we report identification of a noncanonical form of SECIS element in Toxoplasma gondii and Neospora canine, single-celled apicomplexan parasites of humans and domestic animals. This SECIS has a GGGA sequence in the SBP2-binding site in place of AUGA previously considered invariant. Using a combination of computational and molecular techniques, we show that Toxoplasma and Neospora possess both canonical and noncanonical SECIS elements. The GGGA-type SECIS element supported Sec insertion in mammalian HEK 293 and NIH 3T3 cells and did so more efficiently than the natural mammalian SECIS elements tested. In addition, mammalian type I and type II SECIS elements mutated into the GGGA forms were functional but manifested decreased Sec insertion efficiency. We carried out computational searches for both AUGA and GGGA forms of SECIS elements in Toxoplasma and detected five selenoprotein genes, including one coding for a previously undescribed selenoprotein, designated SelQ, and two containing the GGGA form of the SECIS element. In contrast, the GGGA-type SECIS elements were not detected in mammals and nematodes. As a practical outcome of the study, we developed pSelExpress1, a vector for convenient expression of selenoproteins in mammalian cells. It contains an SBP2 gene and the most efficient tested SECIS element: an AUGA mutant of the GGGA-type Toxoplasma SelT structure.",10.1073/pnas.0610683104,17470795,444.0,Proceedings of the National Academy of Sciences of the United States of America
Methionine sulfoxide reduction and the aging process,Annals of the New York Academy of Sciences,annals of the new york academy of sciences,2007-Apr,"['Koc A', 'Gladyshev VN']","Aging has been described for multicellular and asymmetrically dividing organisms, but the mechanisms are poorly understood. Oxidation of proteins is considered to be one of the major factors that leads to aging. Oxidative damage to proteins results in the oxidation of certain amino acid residues, among which oxidation of sulfur-containing amino acids, methionine and cysteine, is notable because of the susceptibility of these residues to damage, and occurrence of repair mechanisms. Methionine sulfoxide reductases, MsrA and MsrB, are thioredoxin-dependent oxidoreductases that reduce oxidized forms of methionine, methionine sulfoxides, in a stereospecific manner. These enzymes are present in all cell types and have shown to be regulating life spans in mammals, insects, and yeast. Here, their roles in modulating yeast life span are discussed.",10.1196/annals.1395.042,17460202,2490.0,Annals of the New York Academy of Sciences
The Sep15 protein family: roles in disulfide bond formation and quality control in the endoplasmic reticulum,IUBMB life,iubmb life,2007-Jan,"['Labunskyy VM', 'Hatfield DL', 'Gladyshev VN']","Disulfide bonds play an important role in the structure and function of membrane and secretory proteins. The formation of disulfide bonds in the endoplasmic reticulum (ER) of eukaryotic cells is catalyzed by a complex network of thiol-disulfide oxidoreductases. Whereas a number of ER-resident oxidoreductases have been identified, the function of only a few of them is firmly established. Recently, a selenocysteine-containing oxidoreductase, Sep15, has been implicated in disulfide bond assisted protein folding, and a role in quality control for this selenoprotein has been proposed. This review summarizes up-to-date information on the Sep15 family proteins and highlights new insights into their physiological function.",10.1080/15216540601126694,17365173,3714.0,IUBMB Life
A conserved cis-proline precludes metal binding by the active site thiolates in members of the thioredoxin family of proteins,Biochemistry,biochemistry,2007-Jun,"['Su D', 'Berndt C', 'Fomenko DE', 'Holmgren A', 'Gladyshev VN']","Many thioredoxin-fold proteins possess a conserved cis-proline located in their C-terminal portions. This residue, as well as catalytic and resolving cysteines, is a key functional group in the active sites of these thiol-disulfide oxidoreductases. However, the specific function of the proline is poorly understood, and some thioredoxin-fold proteins lack this residue. Herein, we found that mutation of a cis-proline, Pro75, in human thioredoxin to serine, threonine, or alanine leads to the formation of an Fe2-S2 cluster in this protein. Further mutagenesis studies revealed that the first cysteine in the CxxC motif and a cysteine in the C-terminal region of the protein were responsible for metal binding. Replacement of Pro75 with arginine, a residue that occurs in place of Pro in peroxiredoxins, also led to the formation of the cluster in the thioredoxin. In addition, we found that mutation of the TxxC active site in a peroxiredoxin to the CxxC form could lead to coordination of an Fe2-S2 cluster in these proteins in vitro. Sco1, a distantly related thioredoxin-fold protein, has histidine in place of the cis-proline, and this residue binds copper. The Pro75His mutation led to increased copper binding by human thioredoxin when cells were grown in the presence of this trace element. Taken together, our data suggest that an important function of Pro75 in human thioredoxin, and likely other members of this superfamily, is to prevent metal binding by the reactive thiolate-based active site.",10.1021/bi700152b,17503777,4134.0,Biochemistry
"SelT, SelW, SelH, and Rdx12: genomics and molecular insights into the functions of selenoproteins of a novel thioredoxin-like family",Biochemistry,biochemistry,2007-Jun,"['Dikiy A', 'Novoselov SV', 'Fomenko DE', 'Sengupta A', 'Carlson BA', 'Cerny RL', 'Ginalski K', 'Grishin NV', 'Hatfield DL', 'Gladyshev VN']","Selenium is an essential trace element in many life forms due to its occurrence as a selenocysteine (Sec) residue in selenoproteins. The majority of mammalian selenoproteins, however, have no known function. Herein, we performed extensive sequence similarity searches to define and characterize a new protein family, designated Rdx, that includes mammalian selenoproteins SelW, SelV, SelT and SelH, bacterial SelW-like proteins and cysteine-containing proteins of unknown function in all three domains of life. An additional member of this family is a mammalian cysteine-containing protein, designated Rdx12, and its fish selenoprotein orthologue. Rdx proteins are proposed to possess a thioredoxin-like fold and a conserved CxxC or CxxU (U is Sec) motif, suggesting a redox function. We cloned and characterized three mammalian members of this family, which showed distinct expression patterns in mouse tissues and different localization patterns in cells transfected with the corresponding GFP fusion proteins. By analogy to thioredoxin, Rdx proteins can use catalytic cysteine (or Sec) to form transient mixed disulfides with substrate proteins. We employed this property to identify cellular targets of Rdx proteins using affinity columns containing mutant versions of these proteins. Rdx12 was found to interact with glutathione peroxidase 1, whereas 14-3-3 protein was identified as one of the targets of mammalian SelW, suggesting a mechanism for redox regulation of the 14-3-3 family of proteins.",10.1021/bi602462q,17503775,4134.0,Biochemistry
Methionine sulfoxide reductases: selenoprotein forms and roles in antioxidant protein repair in mammals,The Biochemical journal,the biochemical journal,2007-Nov,"['Kim HY', 'Gladyshev VN']","Msrs (methionine sulfoxide reductases), MsrA and MsrB, are repair enzymes that reduce methionine sulfoxide residues in oxidatively damaged proteins to methionine residues in a stereospecific manner. These enzymes protect cells from oxidative stress and have been implicated in delaying the aging process and progression of neurodegenerative diseases. In recent years, significant efforts have been made to explore the catalytic properties and physiological functions of these enzymes. In the current review, we present recent progress in this area, with the focus on mammalian MsrA and MsrBs including their roles in disease, evolution and function of selenoprotein forms of MsrA and MsrB, and the biochemistry of these enzymes.",10.1042/BJ20070929,17922679,,
Selenoprotein H is a nucleolar thioredoxin-like protein with a unique expression pattern,The Journal of biological chemistry,the journal of biological chemistry,2007-Apr,"['Novoselov SV', 'Kryukov GV', 'Xu XM', 'Carlson BA', 'Hatfield DL', 'Gladyshev VN']","The human selenoproteome consists of 25 known selenoproteins, but functions of many of these proteins are not known. Selenoprotein H (SelH) is a recently discovered 14-kDa mammalian protein with no sequence homology to functionally characterized proteins. By sensitive sequence and structure analyses, we identified SelH as a thioredoxin fold-like protein in which a conserved CXXU motif (cysteine separated by two other residues from selenocysteine) corresponds to the CXXC motif in thioredoxins. These data suggest a redox function of SelH. Indeed, a recombinant SelH shows significant glutathione peroxidase activity. In addition, SelH has a conserved RKRK motif in the N-terminal sequence. We cloned wild-type and cysteine mutant forms of SelH either upstream or downstream of green fluorescent protein (GFP) and localized this fusion protein to the nucleus in transfected mammalian cells, whereas mutations in the RKRK motif resulted in the cytosolic protein. Interestingly, the full-length SelH-GFP fusion protein localized specifically to nucleoli, whereas the N-terminal sequence of SelH fused to GFP had a diffuse nucleoplasm location. Northern blot analyses revealed low expression levels of SelH mRNA in various mouse tissues, but it was elevated in the early stages of embryonic development. In addition, SelH mRNA was overexpressed in human prostate cancer LNCaP and mouse lung cancer LCC1 cells. Down-regulation of SelH by RNA interference made LCC1 cells more sensitive to hydrogen peroxide but not to other peroxides tested. Overall, these data establish SelH as a novel nucleolar oxidoreductase and suggest that some functions in this compartment are regulated by redox and dependent on the trace element selenium.",10.1074/jbc.M701605200,17337453,,
High-throughput identification of catalytic redox-active cysteine residues,"Science (New York, N.Y.)","science (new york, n.y.)",2007-Jan,"['Fomenko DE', 'Xing W', 'Adair BM', 'Thomas DJ', 'Gladyshev VN']","Cysteine (Cys) residues often play critical roles in proteins; however, identification of their specific functions has been limited to case-by-case experimental approaches. We developed a procedure for high-throughput identification of catalytic redox-active Cys in proteins by searching for sporadic selenocysteine-Cys pairs in sequence databases. This method is independent of protein family, structure, and taxon. We used it to selectively detect the majority of known proteins with redox-active Cys and to make additional predictions, one of which was verified. Rapid accumulation of sequence information from genomic and metagenomic projects should allow detection of many additional oxidoreductase families as well as identification of redox-active Cys in these proteins.",10.1126/science.1133114,17234949,,
Biosynthesis of selenocysteine on its tRNA in eukaryotes,PLoS biology,plos biology,2007-Jan,"['Xu XM', 'Carlson BA', 'Mix H', 'Zhang Y', 'Saira K', 'Glass RS', 'Berry MJ', 'Gladyshev VN', 'Hatfield DL']","Selenocysteine (Sec) is cotranslationally inserted into protein in response to UGA codons and is the 21st amino acid in the genetic code. However, the means by which Sec is synthesized in eukaryotes is not known. Herein, comparative genomics and experimental analyses revealed that the mammalian Sec synthase (SecS) is the previously identified pyridoxal phosphate-containing protein known as the soluble liver antigen. SecS required selenophosphate and O-phosphoseryl-tRNA([Ser]Sec) as substrates to generate selenocysteyl-tRNA([Ser]Sec). Moreover, it was found that Sec was synthesized on the tRNA scaffold from selenide, ATP, and serine using tRNA([Ser]Sec), seryl-tRNA synthetase, O-phosphoseryl-tRNA([Ser]Sec) kinase, selenophosphate synthetase, and SecS. By identifying the pathway of Sec biosynthesis in mammals, this study not only functionally characterized SecS but also assigned the function of the O-phosphoseryl-tRNA([Ser]Sec) kinase. In addition, we found that selenophosphate synthetase 2 could synthesize monoselenophosphate in vitro but selenophosphate synthetase 1 could not. Conservation of the overall pathway of Sec biosynthesis suggests that this pathway is also active in other eukaryotes and archaea that synthesize selenoproteins.",10.1371/journal.pbio.0050004,17194211,430.0,PLoS Biology
Novel metabolism in Chlamydomonas through the lens of genomics,Current opinion in plant biology,current opinion in plant biology,2007-Apr,"['Grossman AR', 'Croft M', 'Gladyshev VN', 'Merchant SS', 'Posewitz MC', 'Prochnik S', 'Spalding MH']","Chlamydomonas has traditionally been exploited as an organism that is associated with sophisticated physiological, genetic and molecular analyses, all of which have been used to elucidate several biological processes, especially photosynthesis and flagella function and assembly. Recently, the genomics of Chlamydomonas has been combined with other technologies to unveil new aspects of metabolism, including inorganic carbon utilization, anaerobic fermentation, the suite and functions of selenoproteins, and the regulation of vitamin biosynthesis. These initial findings represent the first glimpse through a genomic window onto the highly complex metabolisms that characterize a unicellular, photosynthetic eukaryote that has maintained both plant-like and animal-like characteristics over evolutionary time.",10.1016/j.pbi.2007.01.012,17291820,641.0,Current Opinion in Plant Biology
Targeting thioredoxin reductase 1 reduction in cancer cells inhibits self-sufficient growth and DNA replication,PloS one,plos one,2007-Oct,"['Yoo MH', 'Xu XM', 'Carlson BA', 'Patterson AD', 'Gladyshev VN', 'Hatfield DL']","Thioredoxin reductase 1 (TR1) is a major redox regulator in mammalian cells. As an important antioxidant selenoprotein, TR1 is thought to participate in cancer prevention, but is also known to be over-expressed in many cancer cells. Numerous cancer drugs inhibit TR1, and this protein has been proposed as a target for cancer therapy. We previously reported that reduction of TR1 levels in cancer cells reversed many malignant characteristics suggesting that deficiency in TR1 function is antitumorigenic. The molecular basis for TR1's role in cancer development, however, is not understood. Herein, we found that, among selenoproteins, TR1 is uniquely overexpressed in cancer cells and its knockdown in a mouse cancer cell line driven by oncogenic k-ras resulted in morphological changes characteristic of parental (normal) cells, without significant effect on cell growth under normal growth conditions. When grown in serum-deficient medium, TR1 deficient cancer cells lose self-sufficiency of growth, manifest a defective progression in their S phase and a decreased expression of DNA polymerase alpha, an enzyme important in DNA replication. These observations provide evidence that TR1 is critical for self-sufficiency in growth signals of malignant cells, that TR1 acts largely as a pro-cancer protein and it is indeed a primary target in cancer therapy.",10.1371/journal.pone.0001112,17971875,5787.0,PLoS ONE
New developments in selenium biochemistry: selenocysteine biosynthesis in eukaryotes and archaea,Biological trace element research,biological trace element research,2007-Dec,"['Xu XM', 'Carlson BA', 'Zhang Y', 'Mix H', 'Kryukov GV', 'Glass RS', 'Berry MJ', 'Gladyshev VN', 'Hatfield DL']","We used comparative genomics and experimental analyses to show that (1) eukaryotes and archaea, which possess the selenocysteine (Sec) protein insertion machinery contain an enzyme, O-phosphoseryl-transfer RNA (tRNA) [Ser]Sec kinase (designated PSTK), which phosphorylates seryl-tRNA [Ser]Sec to form O-phosphoseryl-tRNA [Ser]Sec and (2) the Sec synthase (SecS) in mammals is a pyridoxal phosphate-containing protein previously described as the soluble liver antigen (SLA). SecS uses the product of PSTK, O-phosphoseryl-tRNA[Ser]Sec, and selenophosphate as substrates to generate selenocysteyl-tRNA [Ser]Sec. Sec could be synthesized on tRNA [Ser]Sec from selenide, adenosine triphosphate (ATP), and serine using tRNA[Ser]Sec, seryl-tRNA synthetase, PSTK, selenophosphate synthetase, and SecS. The enzyme that synthesizes monoselenophosphate is a previously identified selenoprotein, selenophosphate synthetase 2 (SPS2), whereas the previously identified mammalian selenophosphate synthetase 1 did not serve this function. Monoselenophosphate also served directly in the reaction replacing ATP, selenide, and SPS2, demonstrating that this compound was the active selenium donor. Conservation of the overall pathway of Sec biosynthesis suggests that this pathway is also active in other eukaryotes and archaea that contain selenoproteins.",10.1007/s12011-007-8003-9,17916946,6648.0,Biological Trace Element Research
"NMR assignments of 1H, 13C and 15N spectra of methionine sulfoxide reductase B1 from Mus musculus",Biomolecular NMR assignments,biomolecular nmr assignments,2007-Jul,"['Sal LS', 'Aachmann FL', 'Kim HY', 'Gladyshev VN', 'Dikiy A']","Isotopically labeled, 15N and 15N/13C forms of recombinant methionine-r-sulfoxide reductase 1 (MsrB1, SelR) from Mus musculus were produced, in which catalytic selenocysteine was replaced with cysteine. We report here the 1H, 13C and 15N NMR assignment of the reduced form of this mammalian protein.",10.1007/s12104-007-9039-7,19636847,13060.0,Biomolecular NMR Assignments
The Chlamydomonas genome reveals the evolution of key animal and plant functions,"Science (New York, N.Y.)","science (new york, n.y.)",2007-Oct,"['Merchant SS', 'Prochnik SE', 'Vallon O', 'Harris EH', 'Karpowicz SJ', 'Witman GB', 'Terry A', 'Salamov A', 'Fritz-Laylin LK', 'Maréchal-Drouard L', 'Marshall WF', 'Qu LH', 'Nelson DR', 'Sanderfoot AA', 'Spalding MH', 'Kapitonov VV', 'Ren Q', 'Ferris P', 'Lindquist E', 'Shapiro H', 'Lucas SM', 'Grimwood J', 'Schmutz J', 'Cardol P', 'Cerutti H', 'Chanfreau G', 'Chen CL', 'Cognat V', 'Croft MT', 'Dent R', 'Dutcher S', 'Fernández E', 'Fukuzawa H', 'González-Ballester D', 'González-Halphen D', 'Hallmann A', 'Hanikenne M', 'Hippler M', 'Inwood W', 'Jabbari K', 'Kalanon M', 'Kuras R', 'Lefebvre PA', 'Lemaire SD', 'Lobanov AV', 'Lohr M', 'Manuell A', 'Meier I', 'Mets L', 'Mittag M', 'Mittelmeier T', 'Moroney JV', 'Moseley J', 'Napoli C', 'Nedelcu AM', 'Niyogi K', 'Novoselov SV', 'Paulsen IT', 'Pazour G', 'Purton S', 'Ral JP', 'Riaño-Pachón DM', 'Riekhof W', 'Rymarquis L', 'Schroda M', 'Stern D', 'Umen J', 'Willows R', 'Wilson N', 'Zimmer SL', 'Allmer J', 'Balk J', 'Bisova K', 'Chen CJ', 'Elias M', 'Gendler K', 'Hauser C', 'Lamb MR', 'Ledford H', 'Long JC', 'Minagawa J', 'Page MD', 'Pan J', 'Pootakham W', 'Roje S', 'Rose A', 'Stahlberg E', 'Terauchi AM', 'Yang P', 'Ball S', 'Bowler C', 'Dieckmann CL', 'Gladyshev VN', 'Green P', 'Jorgensen R', 'Mayfield S', 'Mueller-Roeber B', 'Rajamani S', 'Sayre RT', 'Brokstein P', 'Dubchak I', 'Goodstein D', 'Hornick L', 'Huang YW', 'Jhaveri J', 'Luo Y', 'Martínez D', 'Ngau WC', 'Otillar B', 'Poliakov A', 'Porter A', 'Szajkowski L', 'Werner G', 'Zhou K', 'Grigoriev IV', 'Rokhsar DS', 'Grossman AR']","Chlamydomonas reinhardtii is a unicellular green alga whose lineage diverged from land plants over 1 billion years ago. It is a model system for studying chloroplast-based photosynthesis, as well as the structure, assembly, and function of eukaryotic flagella (cilia), which were inherited from the common ancestor of plants and animals, but lost in land plants. We sequenced the approximately 120-megabase nuclear genome of Chlamydomonas and performed comparative phylogenomic analyses, identifying genes encoding uncharacterized proteins that are likely associated with the function and biogenesis of chloroplasts or eukaryotic flagella. Analyses of the Chlamydomonas genome advance our understanding of the ancestral eukaryotic cell, reveal previously unknown genes associated with photosynthetic and flagellar functions, and establish links between ciliopathy and the composition and function of flagella.",10.1126/science.1143609,17932292,,
Solution structure of selenoprotein W and NMR analysis of its interaction with 14-3-3 proteins,The Journal of biological chemistry,the journal of biological chemistry,2007-Dec,"['Aachmann FL', 'Fomenko DE', 'Soragni A', 'Gladyshev VN', 'Dikiy A']","Selenium is a trace element with significant biomedical potential. It is essential in mammals due to its occurrence in several proteins in the form of selenocysteine (Sec). One of the most abundant mammalian Sec-containing proteins is selenoprotein W (SelW). This protein of unknown function has a broad expression pattern and contains a candidate CXXU (where U represents Sec) redox motif. Here, we report the solution structure of the Sec13-->Cys variant of mouse SelW determined through high resolution NMR spectroscopy. The protein has a thioredoxin-like fold with the CXXU motif located in an exposed loop similarly to the redox-active site in thioredoxin. Protein dynamics studies revealed the rigidity of the protein backbone and mobility of two external loops and suggested a role of these loops in interaction with SelW partners. Molecular modeling of structures of other members of the Rdx family based on the SelW structure identified new conserved features in these proteins, including an aromatic cluster and interacting loops. Our previous study suggested an interaction between SelW and 14-3-3 proteins. In the present work, with the aid of NMR spectroscopy, we demonstrated specificity of this interaction and identified mobile loops in SelW as interacting surfaces. This finding suggests that 14-3-3 are redox-regulated proteins.",10.1074/jbc.M705410200,17928294,,
Selective restoration of the selenoprotein population in a mouse hepatocyte selenoproteinless background with different mutant selenocysteine tRNAs lacking Um34,The Journal of biological chemistry,the journal of biological chemistry,2007-Nov,"['Carlson BA', 'Moustafa ME', 'Sengupta A', 'Schweizer U', 'Shrimali R', 'Rao M', 'Zhong N', 'Wang S', 'Feigenbaum L', 'Lee BJ', 'Gladyshev VN', 'Hatfield DL']","Novel mouse models were developed in which the hepatic selenoprotein population was targeted for removal by disrupting the selenocysteine (Sec) tRNA([Ser]Sec) gene (trsp), and selenoprotein expression was then restored by introducing wild type or mutant trsp transgenes. The selenoprotein population was partially replaced in liver with mutant transgenes encoding mutations at either position 34 (34T-->A) or 37 (37A-->G) in tRNA([Ser]Sec). The A34 transgene product lacked the highly modified 5-methoxycarbonylmethyl-2'-O-methyluridine, and its mutant base A was converted to I34. The G37 transgene product lacked the highly modified N(6)-isopentenyladenosine. Both mutant tRNAs lacked the 2'-methylribose at position 34 (Um34), and both supported expression of housekeeping selenoproteins (e.g. thioredoxin reductase 1) in liver but not stress-related proteins (e.g. glutathione peroxidase 1). Thus, Um34 is responsible for synthesis of a select group of selenoproteins rather than the entire selenoprotein population. The ICA anticodon in the A34 mutant tRNA decoded Cys codons, UGU and UGC, as well as the Sec codon, UGA. However, metabolic labeling of A34 transgenic mice with (75)Se revealed that selenoproteins incorporated the label from the A34 mutant tRNA, whereas other proteins did not. These results suggest that the A34 mutant tRNA did not randomly insert Sec in place of Cys, but specifically targeted selected selenoproteins. High copy numbers of A34 transgene, but not G37 transgene, were not tolerated in the absence of wild type trsp, further suggesting insertion of Sec in place of Cys in selenoproteins.",10.1074/jbc.M707036200,17848557,,
A new strategy for assessing selenoprotein function: siRNA knockdown/knock-in targeting the 3'-UTR,"RNA (New York, N.Y.)","rna (new york, n.y.)",2007-Jun,"['Yoo MH', 'Xu XM', 'Turanov AA', 'Carlson BA', 'Gladyshev VN', 'Hatfield DL']","Selenocysteine insertion into protein in mammalian cells requires RNA elements in the 3'-untranslated regions (3'-UTRs) of selenoprotein genes. The occurrence of these conserved sequences should make selenoproteins particularly amenable for knockdown/knock-in strategies to examine selenoprotein functions. Herein, we utilized the 3'-UTR of various selenoproteins to knock down their expression using siRNAs and then knock in expression using constructs containing mutations within the target region. Thioredoxin reductase 1 (TR1) knockdown in a mouse kidney cell line resulted in the cells growing about 10% more slowly, being more sensitive to UV radiation, and having increased apoptosis in response to UV than control cells. The knockdown cells transfected with a construct encoding the wild-type TR1 gene and having mutations in the sequences targeted by siRNA restored TR1 expression and catalytic activity, rendered the knockdown cells less sensitive to UV, and protected the cells against apoptosis. We also applied this technique to other selenoproteins, selenophosphate synthetase 2 and glutathione peroxidase 1, and found that mRNA and protein levels were restored following transfection of knockdown cells with the corresponding knock-in constructs. In addition to important new insights into the functions of key mammalian selenoproteins, the data suggest that the RNAi-based knock-in technology could distinguish phenotypes due to off-targeting and provide a new method for examining many of the subtleties of selenoprotein function not available using RNAi technology alone.",10.1261/rna.533007,17468436,,
